Country or Territory,Population,2018 Peak Pubs.,"Ratio, 1 Publisher to",% Inc. Over 2017,2018 No. Bptzd.,Av. Pio. Pubs.,No. of Congs.,Memorial Attendance
Albania,2870324,5647,508,?,143,1332,93,11866
American Samoa,55679,194,287,-6,8,36,3,682
Andorra,76953,178,432,-4,3,16,3,354
Angola,27794030,155991,178,9,12215,22994,2111,635980
Anguilla,17087,67,255,?,?,11,2,225
Antigua,91889,479,192,-1,9,48,7,1337
Argentina,44494502,153342,290,1,4229,24075,1980,312994
Armenia,2986500,10977,272,?,262,2213,134,21843
Aruba,106000,1080,98,?,31,96,14,2898
Australia,24772247,68247,363,1,1250,6578,786,116581
Austria,8823054,21563,409,?,332,1690,299,34118
Azerbaijan,9898085,1430,6922,2,77,335,14,2874
Azores,243862,767,318,?,11,102,15,1528
Bahamas,399000,1762,226,3,46,244,27,4237
Bangladesh,166368149,303,549070,1,15,137,6,839
Barbados,292336,2496,117,-2,55,190,30,5573
Belarus,9491823,6146,1544,2,224,1255,80,10046
Belgium,11514752,25429,453,?,425,1939,339,43326
Belize,383040,2673,143,1,125,534,63,7987
Benin,11486000,13644,842,4,587,1725,209,44661
Bermuda,61000,521,117,-2,8,88,5,927
Bolivia,11240000,27776,405,3,1414,6684,404,86800
Bonaire,26000,160,163,2,?,20,2,351
Bosnia and Herzegovina,3507000,1108,3165,-4,10,179,16,1690
Botswana,2341861,2316,1011,2,118,306,45,6225
Brazil,208888781,869537,240,3,32457,113750,12270,1827079
Britain,64310785,139783,460,?,2293,14424,1615,221205
Bulgaria,7037000,2530,2781,3,52,702,55,5424
Burkina Faso,19752000,1958,10088,3,74,277,48,4309
Burundi,9732000,14508,671,5,921,2211,266,50681
Cambodia,16245729,1156,14053,5,27,648,16,3023
Cameroon,25293116,43965,575,4,1764,5198,486,98947
Canada,36953765,115959,319,?,1703,13125,1402,183048
Cape Verde,560899,2317,242,3,119,417,34,7874
Cayman Islands,62000,265,234,?,3,34,3,620
Central African Republic,5000000,2889,1731,3,138,306,56,17622
Chad,15000000,847,17710,3,69,76,19,4558
Chile,18552218,80451,231,2,2140,13280,1012,177431
Chuuk,48651,47,1035,10,2,17,2,181
Colombia,49850000,181691,274,3,6482,27657,2243,512386
"Congo, Dem. rep.",84004989,229740,366,4,15825,20940,3772,1220046
"Congo, Rep.",5399895,7899,684,8,550,737,88,34550
Cook Islands,17411,196,89,-3,3,26,3,482
Costa Rica,4956898,31786,156,2,1023,3711,451,69999
Cote d'Ivoire,23889455,11938,2001,5,525,1657,324,69529
Croatia,4189000,5042,831,-3,81,438,59,7579
Cuba,11480000,95031,121,?,2537,9985,1503,230936
